rank;album_type;album_main_artist;album_main_artist_uri;album_image_640pk;available_markets;track_artist;track_artist_id;track_duration;track_id;track_name;track_uri;preview_url;track_popularity
0;ALBUM;Gaël Faye;spotify:artist:69irZ4R8OsrLHjr6VmMmMg;https://i.scdn.co/image/ab67616d0000b273c841d82a16d61dc342ad5f6e;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Gaël Faye;69irZ4R8OsrLHjr6VmMmMg;215240;4P89bNZVTCmu3zT0IBNLS8;Chalouper;spotify:track:4P89bNZVTCmu3zT0IBNLS8;https://p.scdn.co/mp3-preview/c96e236cf527f9f9ee1ef25abb6c7dbde8d21bcf?cid=7f0a8007e96c4791a42e9e47d5035951;47
1;SINGLE;Masego;spotify:artist:3ycxRkcZ67ALN3GQJ57Vig;https://i.scdn.co/image/ab67616d0000b273ce43165a3e0d5f6ecab441d8;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Masego;3ycxRkcZ67ALN3GQJ57Vig;228453;2Ee9amLUslOwgoJWZEpSSD;Mystery Lady (feat. Don Toliver);spotify:track:2Ee9amLUslOwgoJWZEpSSD;;76
2;SINGLE;Therapie TAXI;spotify:artist:5MynxBz4ZMqvUzpcxTZl4C;https://i.scdn.co/image/ab67616d0000b273a730178c7d0d6cc784adde82;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Therapie TAXI;5MynxBz4ZMqvUzpcxTZl4C;192613;1p9dxTMtG4gZpLp7yzvT54;Eté 90;spotify:track:1p9dxTMtG4gZpLp7yzvT54;https://p.scdn.co/mp3-preview/d805fd1638ee697651787142c714c045c88568f8?cid=7f0a8007e96c4791a42e9e47d5035951;68
3;SINGLE;Ritt Momney;spotify:artist:7MPGCB854Qo4alYMOPkBka;https://i.scdn.co/image/ab67616d0000b273d52d8eb3be188231e120dbbd;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Ritt Momney;7MPGCB854Qo4alYMOPkBka;210463;6AGOKlMZWLCaEJGnaROtF9;Put Your Records On;spotify:track:6AGOKlMZWLCaEJGnaROtF9;https://p.scdn.co/mp3-preview/43e2f68fc66eb394aebab52b14afde64607f0e77?cid=7f0a8007e96c4791a42e9e47d5035951;86
4;SINGLE;KAROL G;spotify:artist:790FomKkXshlbRYZFtlgla;https://i.scdn.co/image/ab67616d0000b273787fe606ce7ab74559ec541f;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];KAROL G;790FomKkXshlbRYZFtlgla;189653;7x4ASXYEKfQBCewcZhK776;Ay, DiOs Mío!;spotify:track:7x4ASXYEKfQBCewcZhK776;;85
5;ALBUM;The Weeknd;spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ;https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];The Weeknd;1Xyo4u8uXC1ZmMpatF05PJ;237520;7szuecWAPwGoV1e5vGu8tl;In Your Eyes;spotify:track:7szuecWAPwGoV1e5vGu8tl;;86
6;SINGLE;Bad Bunny;spotify:artist:4q3ewBCX7sLwd24euuV69X;https://i.scdn.co/image/ab67616d0000b27334c8199b0b3b3fb42b8a98a8;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Bad Bunny;4q3ewBCX7sLwd24euuV69X;205090;47EiUVwUp4C9fGccaPuUCS;DÁKITI;spotify:track:47EiUVwUp4C9fGccaPuUCS;https://p.scdn.co/mp3-preview/edd9bea2e66b14169f8bbfa45a78b6599b14160a?cid=7f0a8007e96c4791a42e9e47d5035951;93
7;ALBUM;Cassius;spotify:artist:4sf3QZW8a3xZ14IGsOAzoy;https://i.scdn.co/image/ab67616d0000b2730bb9eff4be678363242f0b6e;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Cassius;4sf3QZW8a3xZ14IGsOAzoy;223853;5n9o0Z4Is58SMhpX3WWTLi;Don't Let Me Be;spotify:track:5n9o0Z4Is58SMhpX3WWTLi;;43
8;SINGLE;Tim Dup;spotify:artist:2Ksaxtwx8hMgjUkzIoGDXE;https://i.scdn.co/image/ab67616d0000b273db600ad893c00431ca4cce0c;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Tim Dup;2Ksaxtwx8hMgjUkzIoGDXE;175586;3qsMWrhTbsiTQVykS3AeO5;Cours, cours, et cours encore...;spotify:track:3qsMWrhTbsiTQVykS3AeO5;https://p.scdn.co/mp3-preview/a42b1587737059af5eefa7fff89d99da9534c7be?cid=7f0a8007e96c4791a42e9e47d5035951;50
9;SINGLE;Tierra Whack;spotify:artist:4lPl9gqgox3JDiaJ1yklKh;https://i.scdn.co/image/ab67616d0000b2730ef84b82816687fc634c4910;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Tierra Whack;4lPl9gqgox3JDiaJ1yklKh;239324;4zMmqb0pYwX6b0qc0slCoT;Only Child;spotify:track:4zMmqb0pYwX6b0qc0slCoT;;61
10;ALBUM;Ibrahim Maalouf;spotify:artist:0NSO0g40h9CTj13hKPskeb;https://i.scdn.co/image/ab67616d0000b27305145e64b7be6d3da12deb37;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Ibrahim Maalouf;0NSO0g40h9CTj13hKPskeb;338000;4MOCTiC5mMrJuhLFSNjiIM;Una Rosa Blanca;spotify:track:4MOCTiC5mMrJuhLFSNjiIM;https://p.scdn.co/mp3-preview/bffac97b5a391e0a505f2fc2d8cbe5fef410f8ff?cid=7f0a8007e96c4791a42e9e47d5035951;52
11;ALBUM;Meryl;spotify:artist:1AT8NKdQOU0EVPu6ehN4NA;https://i.scdn.co/image/ab67616d0000b27323d6afba931b724fd3347d27;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Meryl;1AT8NKdQOU0EVPu6ehN4NA;184693;75cpASksL0l3Wf5Yf00EZX;La brume;spotify:track:75cpASksL0l3Wf5Yf00EZX;https://p.scdn.co/mp3-preview/32873b482296897ba9493c5747866c92f7f57b01?cid=7f0a8007e96c4791a42e9e47d5035951;47
12;ALBUM;Ozuna;spotify:artist:1i8SpTcr7yvPOmcqrbnVXY;https://i.scdn.co/image/ab67616d0000b273b1717c201d31ad8e43dedc55;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Ozuna;1i8SpTcr7yvPOmcqrbnVXY;217240;5Jm4w8jmPEBTLjI9vH4fXo;Caramelo;spotify:track:5Jm4w8jmPEBTLjI9vH4fXo;https://p.scdn.co/mp3-preview/fb3ae8b1b4d0d8a0e0ee88cd83f23494ad68688d?cid=7f0a8007e96c4791a42e9e47d5035951;73
13;SINGLE;Trinix;spotify:artist:3HqP3nd8WI0VfHRhApPlan;https://i.scdn.co/image/ab67616d0000b2733de7f804a4b5c26af55145fc;['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA'];Trinix;3HqP3nd8WI0VfHRhApPlan;182400;4BhAN9ph0KpIOCvDxkKhFz;No Sleep;spotify:track:4BhAN9ph0KpIOCvDxkKhFz;https://p.scdn.co/mp3-preview/72ce03286ad88c934d620fe08380f4cdd5b8dd83?cid=7f0a8007e96c4791a42e9e47d5035951;50
